weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
43,-13.12,-16.32,-18.83,-22.94,-29.02,-33.65,-38.25,-52.86,-80.01
44,-13.3,-16.56,-19.31,-23.35,-29.19,-34.69,-38.64,-53.62,-81.16
45,-13.33,-16.56,-19.32,-23.36,-29.2,-35.37,-38.91,-54.66,-94.33
46,-13.67,-16.74,-19.93,-23.8,-29.97,-35.75,-39.95,-59.75,-84.31
47,-13.68,-17.11,-20.25,-23.97,-30.38,-36.44,-40.59,-60.89,-85.93
48,-13.68,-17.12,-20.48,-24.84,-30.83,-36.79,-41.24,-57.75,-99.67
49,-13.69,-17.12,-20.49,-24.84,-31.06,-37.52,-41.48,-58.74,-88.9
50,-13.69,-17.13,-20.5,-24.86,-31.33,-37.85,-42.06,-59.72,-90.39
51,-13.7,-17.13,-20.6,-24.98,-31.72,-38.32,-43.03,-61.28,-92.75
52,-13.7,-17.14,-20.61,-25.0,-31.72,-38.33,-43.04,-61.4,-92.94
53,-13.71,-17.14,-20.62,-25.24,-31.73,-38.33,-43.46,-62.33,-94.34
54,-13.71,-17.15,-20.65,-25.29,-31.74,-38.33,-43.46,-63.22,-95.68
55,-13.72,-17.15,-20.65,-25.29,-31.74,-38.34,-43.47,-64.07,-96.97
56,-13.73,-17.16,-20.66,-25.3,-31.75,-38.35,-44.01,-64.93,-98.28
57,-13.98,-17.25,-20.66,-26.06,-31.76,-38.36,-44.46,-65.83,-99.63
58,-13.98,-17.26,-20.67,-26.07,-31.77,-38.36,-44.85,-66.69,-100.93
59,-13.99,-17.27,-20.82,-26.08,-31.99,-38.37,-45.6,-67.7,-102.47
60,-14.38,-17.94,-21.17,-27.0,-32.58,-38.51,-45.87,-68.76,-104.06
61,-14.38,-17.99,-21.38,-27.06,-32.59,-38.51,-45.88,-69.6,-105.35
62,-14.97,-19.27,-21.73,-27.83,-33.09,-39.1,-46.44,-70.75,-107.08
63,-14.98,-19.28,-21.93,-27.84,-33.32,-39.42,-46.72,-71.91,-108.83
64,-15.38,-19.29,-22.3,-27.85,-33.55,-39.43,-47.01,-73.1,-110.65
65,-15.54,-19.8,-22.3,-27.85,-33.85,-39.52,-47.08,-74.3,-112.45
66,-15.62,-19.99,-22.31,-27.86,-33.87,-39.65,-47.28,-75.45,-114.19
67,-15.63,-20.0,-22.31,-27.91,-34.13,-39.84,-47.73,-76.59,-115.93
68,-15.81,-20.37,-23.66,-28.55,-34.64,-40.44,-47.73,-77.69,-117.59
69,-16.13,-20.57,-23.89,-28.75,-34.82,-40.45,-47.99,-78.82,-119.3
70,-16.21,-20.86,-24.41,-30.14,-35.51,-40.45,-48.4,-80.48,-121.81
71,-16.22,-20.86,-24.79,-30.14,-35.75,-41.11,-48.41,-81.72,-123.69
72,-16.68,-20.86,-25.31,-30.15,-36.34,-42.86,-48.49,-82.93,-125.53
73,-16.79,-21.06,-25.32,-30.59,-36.73,-42.94,-48.49,-84.15,-127.36
74,-17.24,-21.07,-25.32,-30.6,-37.3,-42.94,-48.5,-84.96,-128.59
75,-17.87,-21.08,-25.33,-30.84,-37.3,-43.38,-48.5,-85.92,-130.05
76,-19.25,-22.26,-25.49,-31.31,-38.13,-44.08,-48.96,-86.98,-131.65
77,-20.01,-22.58,-25.78,-31.46,-38.34,-45.34,-48.96,-87.7,-132.74
78,-20.02,-23.43,-26.54,-31.79,-38.59,-45.67,-48.97,-88.17,-133.45
79,-20.92,-24.4,-27.2,-32.29,-39.39,-46.38,-49.77,-88.19,-133.47
80,-21.49,-24.87,-27.32,-33.06,-40.05,-47.02,-50.15,-89.11,-134.87
81,-22.02,-25.07,-27.99,-33.28,-40.57,-47.3,-50.32,-89.85,-135.99
82,-22.74,-25.69,-29.25,-34.13,-40.68,-48.53,-50.33,-90.3,-136.67
83,-22.74,-25.69,-29.26,-34.14,-40.79,-48.53,-50.33,-91.29,-138.16
84,-23.65,-26.71,-30.11,-34.47,-41.8,-49.11,-50.72,-92.34,-139.76
85,-24.28,-26.71,-30.13,-35.02,-42.05,-49.64,-51.27,-93.41,-141.39
86,-25.17,-28.19,-31.31,-35.68,-42.95,-51.04,-52.84,-94.39,-142.87
87,-25.69,-28.21,-31.31,-35.69,-43.52,-51.08,-52.92,-95.46,-144.48
88,-26.75,-28.84,-32.3,-36.84,-43.67,-51.14,-53.5,-96.51,-146.08
89,-27.95,-29.64,-32.93,-36.96,-44.63,-51.66,-54.62,-97.52,-147.6
90,-29.65,-30.93,-34.36,-38.04,-45.26,-52.86,-55.7,-105.66,-170.01
91,-29.66,-30.93,-34.36,-38.05,-45.26,-52.87,-55.71,-99.56,-150.69
92,-30.32,-31.22,-34.54,-38.41,-45.82,-52.88,-55.87,-100.51,-152.13
93,-30.71,-31.52,-35.2,-38.42,-45.82,-52.88,-55.87,-101.49,-153.61
94,-30.87,-32.35,-35.37,-38.91,-46.79,-52.89,-56.98,-102.45,-155.06
95,-31.29,-32.64,-35.61,-39.44,-46.93,-53.07,-57.6,-103.44,-156.56
96,-32.29,-32.86,-36.91,-39.88,-46.94,-53.08,-58.17,-104.39,-157.99
97,-33.35,-34.14,-37.44,-40.52,-47.95,-53.84,-59.31,-105.38,-159.5
98,-33.8,-34.37,-37.45,-40.99,-48.49,-53.85,-59.32,-106.32,-160.92
99,-34.26,-34.57,-38.14,-41.51,-48.59,-54.38,-59.92,-107.31,-162.42
100,-34.84,-35.15,-38.51,-41.73,-49.12,-54.42,-59.96,-108.31,-163.93
101,-35.08,-35.49,-38.52,-42.13,-49.59,-54.94,-60.51,-108.31,-163.94
102,-35.42,-35.5,-38.88,-42.14,-49.6,-54.94,-60.52,-108.32,-163.94
103,-35.88,-36.38,-39.69,-42.38,-49.72,-54.95,-60.52,-108.32,-163.94
104,-35.89,-36.39,-39.79,-42.43,-49.73,-54.95,-60.53,-108.33,-163.96
105,-37.17,-37.46,-40.63,-43.72,-50.96,-56.23,-62.02,-109.29,-165.42
106,-37.42,-37.46,-40.63,-43.72,-50.96,-56.24,-62.02,-110.31,-166.95
107,-37.62,-37.98,-41.18,-44.19,-50.97,-56.66,-62.51,-111.32,-168.49
108,-38.16,-38.4,-41.57,-44.2,-51.43,-56.66,-62.52,-112.34,-170.03
109,-39.31,-39.32,-42.09,-45.06,-51.87,-57.68,-63.65,-113.3,-171.49
110,-39.99,-40.27,-42.98,-45.92,-53.31,-58.75,-64.83,-114.26,-172.93
111,-39.99,-40.32,-43.92,-46.37,-53.32,-59.18,-65.6,-115.56,-174.9
112,-40.46,-41.16,-43.93,-46.37,-53.74,-59.18,-65.6,-116.86,-176.88
113,-40.47,-41.16,-44.41,-46.8,-53.74,-59.19,-66.17,-117.88,-178.41
114,-40.89,-42.04,-45.34,-47.71,-55.17,-60.66,-67.23,-118.9,-179.96
115,-42.14,-42.68,-45.35,-48.29,-55.18,-61.24,-67.25,-119.91,-181.49
116,-42.14,-42.68,-45.91,-48.3,-55.98,-62.01,-68.3,-120.67,-182.63
117,-42.19,-43.09,-46.35,-48.95,-55.99,-62.02,-68.74,-121.62,-184.08
118,-42.64,-43.6,-46.39,-49.09,-56.4,-62.02,-69.92,-122.58,-185.53
119,-43.9,-44.49,-47.77,-49.83,-56.4,-62.51,-69.92,-124.36,-188.22
120,-45.1,-45.13,-47.84,-50.17,-57.39,-63.33,-69.93,-125.38,-189.76
121,-45.1,-45.14,-47.84,-50.18,-57.75,-63.34,-69.93,-126.22,-191.03
122,-45.11,-46.01,-48.31,-50.63,-58.21,-64.33,-71.16,-128.48,-194.46
123,-45.51,-46.05,-49.76,-52.01,-58.66,-65.51,-72.13,-128.49,-194.47
124,-45.52,-46.51,-50.28,-52.02,-59.05,-65.52,-72.14,-129.44,-195.91
125,-45.95,-46.51,-50.29,-52.02,-59.05,-65.52,-72.14,-130.52,-197.55
126,-46.87,-46.97,-50.8,-52.03,-59.4,-65.53,-74.69,-131.33,-198.77
127,-46.88,-47.78,-51.79,-53.21,-60.75,-66.71,-74.69,-132.4,-200.39
128,-47.31,-47.78,-51.79,-53.22,-60.76,-66.72,-75.09,-133.47,-202.02
129,-48.21,-48.4,-51.81,-53.58,-60.76,-66.73,-75.81,-134.55,-203.65
130,-48.4,-48.41,-52.28,-53.59,-61.2,-67.59,-77.55,-138.24,-209.23
131,-48.67,-49.17,-53.27,-54.46,-62.11,-68.23,-77.91,-138.24,-209.23
132,-49.18,-49.19,-53.28,-54.83,-62.11,-68.24,-77.91,-139.48,-211.11
133,-49.6,-49.73,-53.28,-54.83,-62.43,-68.24,-77.92,-140.32,-212.38
134,-50.52,-50.58,-54.33,-55.81,-63.51,-69.36,-77.93,-140.32,-212.39
135,-50.91,-51.58,-55.32,-56.8,-64.29,-69.73,-78.31,-141.39,-213.99
136,-51.28,-51.59,-55.7,-57.3,-64.3,-70.81,-78.84,-142.46,-215.62
137,-51.29,-51.71,-57.17,-57.72,-64.3,-70.82,-78.85,-146.29,-221.41
138,-52.25,-53.03,-57.45,-58.2,-65.62,-71.41,-81.01,-147.06,-222.59
139,-53.22,-53.22,-57.46,-58.21,-65.63,-72.75,-81.03,-147.07,-222.59
140,-53.66,-54.07,-58.03,-59.12,-66.33,-72.75,-81.03,-147.07,-222.6
141,-53.66,-54.08,-58.54,-59.13,-66.34,-72.76,-81.8,-147.45,-223.17
142,-54.35,-54.35,-59.06,-60.07,-67.33,-73.08,-81.81,-149.91,-226.89
143,-54.35,-54.36,-59.06,-60.08,-67.33,-73.09,-81.81,-150.92,-228.42
144,-55.89,-56.64,-60.79,-61.96,-69.12,-75.69,-84.67,-151.96,-229.99
145,-55.89,-57.21,-60.79,-61.96,-70.15,-75.85,-84.67,-151.96,-230.0
146,-55.9,-57.22,-60.8,-61.97,-70.16,-75.86,-84.68,-152.66,-231.06
147,-56.58,-57.78,-61.87,-62.59,-70.66,-75.86,-85.46,-156.3,-236.57
148,-56.58,-58.12,-61.94,-62.59,-70.67,-75.87,-85.46,-156.3,-236.57
149,-56.59,-58.13,-62.79,-63.57,-70.9,-76.59,-86.28,-156.64,-237.08
150,-56.59,-58.13,-62.8,-64.48,-70.9,-76.59,-86.28,-157.71,-238.7
